VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH BASER    BASER_NCL  BASER_NCU RELIABILITY RESOLUTION UNCERTAINTY ROC_AUC  BRIER    BRIER_NCL   BRIER_NCU BRIERCL BRIERCL_NCL BRIERCL_NCU BSS BSS_SMPL  THRESH_1 THRESH_2 THRESH_3 THRESH_4 THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0         NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0.1       NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0.25      NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >0.5       NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >1.0       NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >1.5       NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           ==0.25000   >2.0       NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0         NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0.1       NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           ==0.25000   >0.25      NA         0.05  PSTD         64        5 0        0          0.056624    0.015625    0           0        NA       0.015625 -0.015354    0.046604      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
